Analog Input 13535,Present value,412,,
Analog Input 13535,Units,,,
Analog Input 13604,Object name,0454_FVV-11-10:ROOM TEMP,,
Analog Input 13604,Present value,70,,
Analog Input 13604,Units,degrees fahrenheit,,
Analog Input 13613,Object name,0454_FVV-11-10:RM STPT DIAL,,
Analog Input 13613,Present value,55.25,,
Analog Input 13613,Units,degrees fahrenheit,,
Analog Input 13615,Object name,0454_FVV-11-10:AUX TEMP,,
Analog Input 13615,Present value,69.5,,
Analog Input 13615,Units,degrees fahrenheit,,
Analog Input 13635,Object name,0454_FVV-11-10:AIR VOLUME,,
Analog Input 13635,Present value,60,,
Analog Input 13635,Units,,,
Analog Input 13704,Object name,0454_FCU-1-3:ROOM TEMP,,
Analog Input 13704,Present value,73.25,,
Analog Input 13704,Units,degrees fahrenheit,,
Analog Input 13713,Object name,0454_FCU-1-3:RM STPT DIAL,,
Analog Input 13713,Present value,79,,
Analog Input 13713,Units,degrees fahrenheit,,
Analog Input 13715,Object name,0454_FCU-1-3:AUX TEMP,,
Analog Input 13715,Present value,67,,
Analog Input 13715,Units,degrees fahrenheit,,
Analog Input 13804,Object name,0454_VV-11-04:ROOM TEMP,,
Analog Input 13804,Present value,75.25,,
Analog Input 13804,Units,degrees fahrenheit,,
Analog Input 13813,Object name,0454_VV-11-04:RM STPT DIAL,,
Analog Input 13813,Present value,55,,
Analog Input 13813,Units,degrees fahrenheit,,
Analog Input 13815,Object name,0454_VV-11-04:AUX TEMP,,
Analog Input 13815,Present value,54,,
Analog Input 13815,Units,degrees fahrenheit,,
Analog Input 13835,Object name,0454_VV-11-04:AIR VOLUME,,
Analog Input 13835,Present value,324,,
Analog Input 13835,Units,,,
Analog Input 13904,Object name,0454_FVV-11-05:ROOM TEMP,,
Analog Input 13904,Present value,69.5,,
Analog Input 13904,Units,degrees fahrenheit,,
Analog Input 13913,Object name,0454_FVV-11-05:RM STPT DIAL,,
Analog Input 13913,Present value,75.75,,
Analog Input 13913,Units,degrees fahrenheit,,
Analog Input 13915,Object name,0454_FVV-11-05:AUX TEMP,,
Analog Input 13915,Present value,54,,
Analog Input 13915,Units,degrees fahrenheit,,
Analog Input 13935,Object name,0454_FVV-11-05:AIR VOLUME,,
Analog Input 13935,Present value,1148,,
Analog Input 13935,Units,,,
Analog Input 14,Object name,0454_AHU02.CHW.GPM,,
Analog Input 14,Present value,1.4517899,,
Analog Input 14,Units,us gallons per minute,,
Analog Input 14004,Object name,0454_FVV-02-03:ROOM TEMP,,
Analog Input 14004,Present value,82,,
Analog Input 14004,Units,degrees fahrenheit,,
Analog Input 14013,Object name,0454_FVV-02-03:RM STPT DIAL,,
Analog Input 14013,Present value,99,,
Analog Input 14013,Units,degrees fahrenheit,,
Analog Input 14015,Object name,0454_FVV-02-03:AUX TEMP,,
Analog Input 14015,Present value,55.5,,
Analog Input 14015,Units,degrees fahrenheit,,
Analog Input 14035,Object name,0454_FVV-02-03:AIR VOLUME,,
Analog Input 14035,Present value,1940,,
Analog Input 14035,Units,,,
Analog Input 14104,Object name,0454_FVV-11-02:ROOM TEMP,,
Analog Input 14104,Present value,71.25,,
Analog Input 14104,Units,degrees fahrenheit,,
Analog Input 14113,Object name,0454_FVV-11-02:RM STPT DIAL,,
Analog Input 14113,Present value,55.25,,
Analog Input 14113,Units,degrees fahrenheit,,
Analog Input 14115,Object name,0454_FVV-11-02:AUX TEMP,,
Analog Input 14115,Present value,54,,
Analog Input 14115,Units,degrees fahrenheit,,
Analog Input 14135,Object name,0454_FVV-11-02:AIR VOLUME,,
Analog Input 14135,Present value,420,,
Analog Input 14135,Units,,,
Analog Input 14204,Object name,0454_FVV-11-07:ROOM TEMP,,
Analog Input 14204,Present value,71.5,,
Analog Input 14204,Units,degrees fahrenheit,,
Analog Input 14213,Object name,0454_FVV-11-07:RM STPT DIAL,,
Analog Input 14213,Present value,55.25,,
Analog Input 14213,Units,degrees fahrenheit,,
